,file_name,set_name,loss,dice
0,data/Images/36.png,train,8.977994,0.4887237
1,data/Images/206.png,train,8.967304,0.48790216
2,data/Images/5.png,train,8.974769,0.482716
3,data/Images/221.png,train,8.974764,0.4891494
4,data/Images/7.png,train,8.977924,0.48945814
5,data/Images/15.png,train,8.955539,0.48685184
6,data/Images/83.png,train,8.973331,0.47924024
7,data/Images/39.png,train,8.949782,0.49000198
8,data/Images/54.png,train,8.962178,0.4840971
9,data/Images/138.png,train,8.965009,0.48745072
10,data/Images/155.png,train,8.974148,0.48322308
11,data/Images/121.png,train,8.957257,0.4885799
12,data/Images/146.png,train,8.9583,0.48966807
13,data/Images/43.png,train,8.957196,0.48952162
14,data/Images/131.png,train,8.969697,0.48769537
15,data/Images/37.png,train,8.97792,0.4895094
16,data/Images/143.png,train,8.978016,0.48847026
17,data/Images/101.png,train,8.952636,0.48825547
18,data/Images/209.png,train,8.971995,0.48955762
19,data/Images/14.png,train,8.978141,0.48714656
20,data/Images/200.png,train,8.925648,0.48861238
21,data/Images/9.png,train,8.964626,0.48492473
22,data/Images/177.png,train,8.926339,0.48449802
23,data/Images/111.png,train,8.977936,0.48934954
24,data/Images/218.png,train,8.977899,0.48974282
25,data/Images/191.png,train,8.977984,0.48882633
26,data/Images/26.png,train,8.862858,0.48886073
27,data/Images/135.png,train,8.644686,0.49034572
28,data/Images/103.png,train,8.972479,0.48324636
29,data/Images/31.png,train,8.792138,0.4824218
30,data/Images/125.png,train,8.971643,0.48767185
31,data/Images/172.png,train,8.978074,0.48785663
32,data/Images/97.png,train,8.919531,0.49042732
33,data/Images/215.png,train,8.941749,0.5027935
34,data/Images/179.png,train,8.978676,0.48128897
35,data/Images/188.png,train,8.978489,0.4833511
36,data/Images/27.png,train,8.977852,0.4902447
37,data/Images/182.png,train,8.9783325,0.48506126
38,data/Images/113.png,train,8.966157,0.4856794
39,data/Images/216.png,train,8.948074,0.4893275
40,data/Images/58.png,train,8.966362,0.48595625
41,data/Images/107.png,train,8.957308,0.48954964
42,data/Images/81.png,train,8.977887,0.4898652
43,data/Images/74.png,train,8.978046,0.48816165
44,data/Images/222.png,train,8.9717245,0.49051827
45,data/Images/122.png,train,8.941463,0.4881097
46,data/Images/34.png,train,8.977994,0.48872054
47,data/Images/22.png,train,8.977996,0.4887031
48,data/Images/193.png,train,8.945361,0.48186857
49,data/Images/51.png,train,8.974513,0.48759636
50,data/Images/108.png,train,8.881634,0.48590255
51,data/Images/23.png,train,8.976206,0.48601484
52,data/Images/85.png,train,8.971282,0.48822024
53,data/Images/154.png,train,8.923262,0.4885188
54,data/Images/73.png,train,8.973885,0.48778093
55,data/Images/213.png,train,8.966484,0.4871452
56,data/Images/61.png,train,8.858096,0.48795906
57,data/Images/96.png,train,8.978429,0.48398966
58,data/Images/205.png,train,8.948601,0.48910317
59,data/Images/116.png,train,8.978443,0.48385704
60,data/Images/140.png,train,8.943197,0.48627257
61,data/Images/162.png,train,8.975399,0.4866802
62,data/Images/98.png,train,8.963835,0.48973042
63,data/Images/21.png,train,8.965508,0.48639327
64,data/Images/84.png,train,8.974798,0.4889528
65,data/Images/42.png,train,8.953953,0.4909215
66,data/Images/159.png,train,8.97705,0.48650184
67,data/Images/119.png,train,8.960467,0.48572803
68,data/Images/38.png,train,8.968179,0.48392516
69,data/Images/77.png,train,8.970234,0.49156204
70,data/Images/133.png,train,8.969673,0.48909098
71,data/Images/65.png,train,8.965905,0.48916513
72,data/Images/105.png,train,8.963652,0.4904848
73,data/Images/102.png,train,8.964554,0.4934277
74,data/Images/129.png,train,8.956279,0.48534292
75,data/Images/10.png,train,8.929386,0.48893714
76,data/Images/211.png,train,8.977989,0.48878956
77,data/Images/157.png,train,8.968782,0.49164322
78,data/Images/59.png,train,8.931944,0.4880069
79,data/Images/78.png,train,8.969313,0.49074346
80,data/Images/76.png,train,8.965122,0.484989
81,data/Images/152.png,train,8.874805,0.4856061
82,data/Images/141.png,train,8.932147,0.48725668
83,data/Images/175.png,train,8.951442,0.4927101
84,data/Images/32.png,train,8.950181,0.48389652
85,data/Images/137.png,train,8.903346,0.48353735
86,data/Images/156.png,train,8.959122,0.485378
87,data/Images/48.png,train,8.9729805,0.4890223
88,data/Images/12.png,train,8.977827,0.4905091
89,data/Images/169.png,train,8.968909,0.49325663
90,data/Images/167.png,train,8.969628,0.4904734
91,data/Images/79.png,train,8.921181,0.49281296
92,data/Images/180.png,train,8.978237,0.4860978
93,data/Images/134.png,train,8.974508,0.48620108
94,data/Images/40.png,train,8.974115,0.4896196
95,data/Images/173.png,train,8.959608,0.48657972
96,data/Images/60.png,train,8.923964,0.49117857
97,data/Images/110.png,train,8.905084,0.4865867
98,data/Images/176.png,train,8.977659,0.4834783
99,data/Images/89.png,train,8.916754,0.49434248
100,data/Images/52.png,train,8.97783,0.4904846
101,data/Images/199.png,train,8.978799,0.4799376
102,data/Images/104.png,train,8.971694,0.48973286
103,data/Images/165.png,train,8.977959,0.48908967
104,data/Images/6.png,train,8.964362,0.48508745
105,data/Images/148.png,train,8.978257,0.48588955
106,data/Images/93.png,train,8.97778,0.4909983
107,data/Images/64.png,train,8.971594,0.489599
108,data/Images/198.png,train,8.966152,0.4903928
109,data/Images/8.png,train,8.978132,0.48723376
110,data/Images/204.png,train,8.950924,0.4829889
111,data/Images/88.png,train,8.976483,0.48681015
112,data/Images/168.png,train,8.975693,0.4888502
113,data/Images/208.png,train,8.978199,0.48650372
114,data/Images/3.png,train,8.955216,0.48849207
115,data/Images/220.png,train,8.966016,0.48637515
116,data/Images/212.png,train,8.97836,0.4847561
117,data/Images/219.png,train,8.939489,0.48361722
118,data/Images/158.png,train,8.950273,0.48850095
119,data/Images/132.png,train,8.965469,0.486941
120,data/Images/18.png,train,8.918352,0.48628405
121,data/Images/86.png,train,8.9611025,0.4871474
122,data/Images/189.png,train,8.788158,0.4865213
123,data/Images/71.png,train,8.938502,0.4907401
124,data/Images/128.png,train,8.9700575,0.48940718
125,data/Images/66.png,train,8.970171,0.483379
126,data/Images/67.png,train,8.977968,0.4890008
127,data/Images/92.png,train,8.978197,0.48652697
128,data/Images/120.png,train,8.966163,0.48985568
129,data/Images/139.png,train,8.93189,0.4889385
130,data/Images/106.png,train,8.903574,0.48884875
131,data/Images/50.png,train,8.839013,0.48659706
132,data/Images/174.png,train,8.966757,0.48919874
133,data/Images/25.png,train,8.970407,0.4873465
134,data/Images/170.png,train,8.978326,0.48512626
135,data/Images/11.png,train,8.88685,0.48804453
136,data/Images/82.png,train,8.971345,0.48689976
137,data/Images/203.png,train,8.964059,0.48818895
138,data/Images/90.png,train,8.977876,0.4899895
139,data/Images/183.png,train,8.934354,0.48847327
140,data/Images/196.png,train,8.974002,0.48644716
